Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,81.0,81.0,81.0,81.0,81.0,0
2019-08-16,81.0,81.0,81.0,81.0,81.0,0
2019-08-19,81.0,81.0,81.0,81.0,81.0,0
2019-08-20,81.0,81.0,81.0,81.0,81.0,0
2019-08-21,81.0,81.0,81.0,81.0,81.0,0
2019-08-22,81.0,81.0,81.0,81.0,81.0,0
2019-08-23,81.0,81.0,81.0,81.0,81.0,0
2019-08-26,81.0,81.0,81.0,81.0,81.0,0
2019-08-27,81.0,81.0,81.0,81.0,81.0,0
2019-08-28,81.0,81.0,81.0,81.0,81.0,0
2019-08-29,81.0,81.0,81.0,81.0,81.0,0
2019-08-30,81.0,81.0,81.0,81.0,81.0,0
2019-09-03,81.0,81.0,81.0,81.0,81.0,0
2019-09-04,81.0,81.0,81.0,81.0,81.0,0
2019-09-05,81.0,81.0,81.0,81.0,81.0,0
2019-09-06,81.0,81.0,81.0,81.0,81.0,0
2019-09-09,81.0,81.0,81.0,81.0,81.0,0
2019-09-10,81.0,81.0,81.0,81.0,81.0,0
2019-09-11,81.0,81.0,81.0,81.0,81.0,0
2019-09-12,81.0,81.0,81.0,81.0,81.0,0
2019-09-13,81.0,81.0,81.0,81.0,81.0,0
2019-09-16,81.0,81.0,81.0,81.0,81.0,0
2019-09-17,81.0,81.0,81.0,81.0,81.0,0
2019-09-18,81.0,81.0,81.0,81.0,81.0,0
2019-09-19,81.0,81.0,81.0,81.0,81.0,0
2019-09-20,81.0,81.0,81.0,81.0,81.0,0
2019-09-23,81.0,81.0,81.0,81.0,81.0,0
2019-09-24,81.0,81.0,81.0,81.0,81.0,0
2019-09-25,81.0,81.0,81.0,81.0,81.0,0
2019-09-26,81.0,81.0,81.0,81.0,81.0,0
2019-09-27,81.0,81.0,81.0,81.0,81.0,0
2019-09-30,81.0,81.0,81.0,81.0,81.0,0
2019-10-01,81.0,81.0,81.0,81.0,81.0,0
2019-10-02,81.0,81.0,81.0,81.0,81.0,0
2019-10-03,81.0,81.0,81.0,81.0,81.0,0
2019-10-04,81.0,81.0,81.0,81.0,81.0,0
2019-10-07,81.0,81.0,81.0,81.0,81.0,0
2019-10-08,81.0,81.0,81.0,81.0,81.0,0
2019-10-09,81.0,81.0,81.0,81.0,81.0,0
2019-10-10,81.0,81.0,81.0,81.0,81.0,0
2019-10-11,81.0,81.0,81.0,81.0,81.0,0
2019-10-14,81.0,81.0,81.0,81.0,81.0,0
2019-10-15,81.0,81.0,81.0,81.0,81.0,0
2019-10-16,81.0,81.0,81.0,81.0,81.0,0
2019-10-17,81.0,81.0,81.0,81.0,81.0,0
2019-10-18,81.0,81.0,81.0,81.0,81.0,0
2019-10-21,81.0,81.0,81.0,81.0,81.0,0
2019-10-22,81.0,81.0,81.0,81.0,81.0,0
2019-10-23,81.0,81.0,81.0,81.0,81.0,0
2019-10-24,81.0,81.0,81.0,81.0,81.0,0
2019-10-25,81.0,81.0,81.0,81.0,81.0,0
2019-10-28,81.0,81.0,81.0,81.0,81.0,0
2019-10-29,81.0,81.0,81.0,81.0,81.0,0
2019-10-30,81.0,81.0,81.0,81.0,81.0,0
2019-10-31,81.0,81.0,81.0,81.0,81.0,0
2019-11-01,81.0,81.0,81.0,81.0,81.0,0
2019-11-04,81.0,81.0,81.0,81.0,81.0,0
2019-11-05,81.0,81.0,81.0,81.0,81.0,0
2019-11-06,81.0,81.0,81.0,81.0,81.0,0
2019-11-07,81.0,81.0,81.0,81.0,81.0,0
2019-11-08,81.0,81.0,81.0,81.0,81.0,0
2019-11-11,81.0,81.0,81.0,81.0,81.0,0
2019-11-12,81.0,81.0,81.0,81.0,81.0,0
2019-11-13,81.0,81.0,81.0,81.0,81.0,0
2019-11-14,81.0,81.0,81.0,81.0,81.0,0
2019-11-15,81.0,81.0,81.0,81.0,81.0,0
2019-11-18,81.0,81.0,81.0,81.0,81.0,0
2019-11-19,81.0,81.0,81.0,81.0,81.0,0
2019-11-20,81.0,81.0,81.0,81.0,81.0,0
2019-11-21,81.0,81.0,81.0,81.0,81.0,0
2019-11-22,81.0,81.0,81.0,81.0,81.0,0
2019-11-25,81.0,81.0,81.0,81.0,81.0,0
2019-11-26,81.0,81.0,81.0,81.0,81.0,0
2019-11-27,81.0,81.0,81.0,81.0,81.0,0
2019-11-29,81.0,81.0,81.0,81.0,81.0,0
2019-12-02,81.0,81.0,81.0,81.0,81.0,0
2019-12-03,81.0,81.0,81.0,81.0,81.0,0
2019-12-04,81.0,81.0,81.0,81.0,81.0,0
2019-12-05,81.0,81.0,81.0,81.0,81.0,0
2019-12-06,64.0,64.0,64.0,64.0,64.0,1000
2019-12-09,64.0,64.0,64.0,64.0,64.0,0
2019-12-10,64.0,64.0,64.0,64.0,64.0,0
2019-12-11,64.0,64.0,64.0,64.0,64.0,0
2019-12-12,64.0,64.0,64.0,64.0,64.0,0
2019-12-13,64.0,64.0,64.0,64.0,64.0,0
2019-12-16,64.0,64.0,64.0,64.0,64.0,200
2019-12-17,64.0,64.0,64.0,64.0,64.0,0
2019-12-18,64.0,64.0,64.0,64.0,64.0,0
2019-12-19,64.0,64.0,64.0,64.0,64.0,200
2019-12-20,62.5,63.0,62.0,62.5,62.5,200
2019-12-23,62.5,62.5,62.5,62.5,62.5,0
2019-12-24,62.5,62.5,62.5,62.5,62.5,0
2019-12-26,62.5,62.5,62.5,62.5,62.5,0
2019-12-27,62.5,62.5,62.5,62.5,62.5,0
2019-12-30,62.5,62.5,62.5,62.5,62.5,0
2019-12-31,62.5,62.5,62.5,62.5,62.5,100
2020-01-02,62.5,62.5,62.5,62.5,62.5,0
2020-01-03,62.5,62.5,62.5,62.5,62.5,0
2020-01-06,62.5,62.5,62.5,62.5,62.5,0
2020-01-07,62.5,62.5,62.5,62.5,62.5,800
2020-01-08,62.5,62.5,62.5,62.5,62.5,2800
2020-01-09,62.5,62.5,62.5,62.5,62.5,0
2020-01-10,62.5,62.5,62.5,62.5,62.5,0
2020-01-13,64.75,65.0,62.0,64.75,64.75,1100
2020-01-14,64.75,64.75,64.75,64.75,64.75,0
2020-01-15,64.75,64.75,64.75,64.75,64.75,0
2020-01-16,64.75,64.75,64.75,64.75,64.75,0
2020-01-17,65.5,67.75,65.0,65.5,65.5,1200
2020-01-21,66.0,66.0,66.0,66.0,66.0,100
2020-01-22,66.0,66.0,66.0,66.0,66.0,0
2020-01-23,66.0,66.0,66.0,66.0,66.0,0
2020-01-24,66.0,66.0,66.0,66.0,66.0,0
2020-01-27,66.0,66.0,66.0,66.0,66.0,0
2020-01-28,66.0,66.0,66.0,66.0,66.0,0
2020-01-29,65.0,65.75,64.0,65.0,65.0,3700
2020-01-30,65.0,65.0,65.0,65.0,65.0,0
2020-01-31,65.0,65.0,65.0,65.0,65.0,0
2020-02-03,65.0,65.0,65.0,65.0,65.0,0
2020-02-04,65.0,65.0,65.0,65.0,65.0,0
2020-02-05,65.0,65.0,65.0,65.0,65.0,0
2020-02-06,62.0,62.0,62.0,62.0,62.0,200
2020-02-07,62.0,62.0,62.0,62.0,62.0,0
2020-02-10,62.0,62.0,62.0,62.0,62.0,0
2020-02-11,62.0,62.0,62.0,62.0,62.0,0
2020-02-12,62.0,62.0,62.0,62.0,62.0,0
2020-02-13,62.0,62.0,62.0,62.0,62.0,0
2020-02-14,62.0,62.0,62.0,62.0,62.0,0
2020-02-18,60.0,60.0,60.0,60.0,60.0,4100
2020-02-19,60.0,60.0,60.0,60.0,60.0,0
2020-02-20,65.0,65.0,65.0,65.0,65.0,100
2020-02-21,62.0,62.0,62.0,62.0,62.0,400
2020-02-24,62.0,62.0,62.0,62.0,62.0,0
2020-02-25,62.0,62.0,62.0,62.0,62.0,0
2020-02-26,62.0,62.0,62.0,62.0,62.0,300
2020-02-27,62.0,62.0,62.0,62.0,62.0,0
